date,comments,northbound pedestrians,southbound pedestrians,total pedestrians,northbound bicycles,southbound bicycles,total bicycles,northbound vehicles,southbound vehicles,total vehicles
"June 1, 2009",,,,,,,,"31,541","34,811","66,352"
"June 2, 2009",,,,,,,,"33,141","35,670","68,811"
"June 3, 2009",,,,,,,,"34,045","37,060","71,105"
"June 4, 2009",,,,,,,,,,
"June 5, 2009",,,,,,,,"35,393","37,823","73,216"
"June 6, 2009",,,,,,,,"30,136","32,252","62,388"
"June 7, 2009",,,,,,,,"26,294","30,064","56,358"
"June 8, 2009",,,,,,,,"31,110","33,967","65,077"
"June 9, 2009",,,,,,,,,,
"June 10, 2009",,,,,,,,,,
"June 11, 2009",,,,,,,,"34,573","37,371","71,944"
"June 12, 2009",,,,,,,,"34,525","36,909","71,434"
"June 13, 2009",,,,,,,,"31,689","34,052","65,741"
"June 14, 2009",,,,,,,,"26,408","29,717","56,125"
"June 15, 2009",,,,,,,,"29,846","32,437","62,283"
"June 16, 2009",,,,,"2,305","2,304","4,609","32,258","34,930","67,188"
"June 17, 2009",,,,,"2,094","2,043","4,136","33,464","36,122","69,586"
"June 18, 2009",,,,,"2,224","2,216","4,441","34,233","37,000","71,233"
"June 19, 2009",,,,,"1,546","1,713","3,259","34,609","37,901","72,510"
"June 20, 2009",,,,,"1,043","1,230","2,274",,"32,396","32,396"
"June 21, 2009",,,,,"1,343","1,594","2,938",,,
"June 22, 2009",,,,,"1,734","1,857","3,591",,,
"June 23, 2009",,,,,"2,180","2,350","4,531",,,
"June 24, 2009",,,,,976,"1,029","2,004","33,845","36,175","70,020"
"June 25, 2009",,,,,"1,393","1,537","2,930",,,
"June 26, 2009",,,,,"2,502","2,372","4,875",,,
"June 27, 2009",,,,,"1,782","1,917","3,699","30,647","32,582","63,229"
"June 28, 2009",,,,,"2,001","2,172","4,172","27,775","30,507","58,282"
"June 29, 2009",,,,,"2,192","2,202","4,394","31,313","34,267","65,580"
"June 30, 2009",,"1,357","1,442","2,799","2,325","2,271","4,597",,,
"July 1, 2009",Canada Day,"1,983","1,933","3,916","2,635","2,627","5,262","27,158","30,076","57,234"
"July 2, 2009",,"1,428","1,475","2,903","2,223","2,118","4,342","32,766","35,272","68,038"
"July 3, 2009",,"1,291","1,392","2,683","2,236","2,081","4,317","32,228","34,517","66,745"
"July 4, 2009",,"1,322","1,208","2,530","2,283","2,280","4,563","29,252","31,475","60,727"
"July 5, 2009",,"1,214","1,070","2,284","1,765","1,934","3,700",,,
"July 6, 2009",,868,947,"1,815","1,186","1,290","2,476","29,345","31,983","61,328"
